DOI,DOI链接,是否有川大作者,川大作者姓名,川大作者单位,作者排序,是否共一,是否通讯作者
10.1038/s41467-023-40854-1,https://doi.org/10.1038/s41467-023-40854-1,Y,Han Liu,"Department of Computer Science and Technology, Sichuan University, Chengdu, China",5,N,N
10.1038/s41551-023-01045-x,https://doi.org/10.1038/s41551-023-01045-x,Y,Chengdi Wang; Jun Shao; Weimin Li,"Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China. ; Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China; Department of Pulmonary and Critical Care Medicine, Med-X Center for Manufacturing, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, Sichuan University, Chengdu, China",3; 7; 10,Y,Y
10.1038/s41467-023-42720-6,https://doi.org/10.1038/s41467-023-42720-6,Y,Shengdong Wang; Cheng Gu,"College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, , Chengdu, People's Republic of China; State Key Laboratory of Luminescent Materials and Devices, Institute of Polymer Optoelectronic Materials and Devices, South China University of Technology, , Guangzhou, People's Republic of China; College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, , Chengdu, People's Republic of China. ; College of Polymer Science and Engineering, State Key Laboratory of Polymer Materials Engineering, Sichuan University, , Chengdu, People's Republic of China",1; 14,N,Y
10.1038/s41586-022-05030-3,https://doi.org/10.1038/s41586-022-05030-3,Y,Ziheng Guo,"Department of Pancreatic Surgery, West China Hospital, Sichuan University, Chengdu, China",6,N,N
10.1038/s41392-022-01090-z,https://doi.org/10.1038/s41392-022-01090-z,Y,Guan Wang,"Innovation Center of Nursing Research, Nursing Key Laboratory of Sichuan Province, State Key Laboratory of Biotherapy and Cancer Center, West China Hospital, Sichuan University, Chengdu, , China",6,N,N
10.1109/taffc.2022.3164516,https://doi.org/10.1109/taffc.2022.3164516,Y,Xianggen Liu,"College of Computer Science, Sichuan University, Chengdu, Sichuan, China",2,Y,N
10.1038/s41467-024-47121-x,https://doi.org/10.1038/s41467-024-47121-x,Y,Xuping Sun,"College of Chemistry Chemical Engineering and Materials Science, Shandong Normal University, Jinan, , Shandong, China. ; High Altitude Medical Center, West China Hospital, Sichuan University, Chengdu, , Sichuan, China. ; Institute of Fundamental and Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, , Sichuan, China. ; Institute of Fundamental and Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, , Sichuan, China",9,N,Y
10.1038/s41392-022-01130-8,https://doi.org/10.1038/s41392-022-01130-8,Y,Chengdi Wang; Tingting Song; Zhoufeng Wang; Lujia Song; Ying Yang; Jun Shao; Jingwei Li; Yinyun Ni; Ningning Chao; Li Zhang; Weimin Li,"Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, , Chengdu, China; Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, , Chengdu, China. ; Department of Respiratory and Critical Care Medicine, Med-X Center for Manufacturing, Center of Precision Medicine, Precision Medicine Key Laboratory of Sichuan Province, Frontiers Science Center for Disease-related Molecular Network, West China Hospital, West China Medical School, Sichuan University, , Chengdu, China",1; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,Y,Y
10.1038/s41467-024-51130-1,https://doi.org/10.1038/s41467-024-51130-1,Y,Xuping Sun,"Center for High Altitude Medicine, West China Hospital, Sichuan University, Chengdu, Sichuan, China. ; College of Chemistry Chemical Engineering and Materials Science, Shandong Normal University, Jinan, Shandong, China. ; Institute of Fundamental and Frontier Sciences, University of Electronic Science and Technology of China, Chengdu, Sichuan, China. ; Center for High Altitude Medicine, West China Hospital, Sichuan University, Chengdu, Sichuan, China",16,N,Y
10.1007/s00134-023-07050-7,https://doi.org/10.1007/s00134-023-07050-7,N,,,,,
10.1038/s41586-023-06957-x,https://doi.org/10.1038/s41586-023-06957-x,N,,,,,
10.1038/s41586-023-05769-3,https://doi.org/10.1038/s41586-023-05769-3,N,,,,,
10.1038/s41587-022-01618-2,https://doi.org/10.1038/s41587-022-01618-2,N,,,,,
10.1038/s41586-022-05572-6,https://doi.org/10.1038/s41586-022-05572-6,N,,,,,
10.1038/s41591-023-02327-2,https://doi.org/10.1038/s41591-023-02327-2,N,,,,,
10.1038/s41586-022-05498-z,https://doi.org/10.1038/s41586-022-05498-z,N,,,,,
10.1038/s41467-023-39637-5,https://doi.org/10.1038/s41467-023-39637-5,N,,,,,
10.1038/s41586-024-07487-w,https://doi.org/10.1038/s41586-024-07487-w,N,,,,,
10.1038/s41746-023-00819-6,https://doi.org/10.1038/s41746-023-00819-6,N,,,,,
10.3389/fimmu.2022.863640,https://doi.org/10.3389/fimmu.2022.863640,Y,Qin Zheng; Hancong Li; Liya Wang; Jiwen Geng; Qinbo Yang; Baihai Su; Ruoxi Liao,"West China School of Medicine, West China Hospital of Sichuan University, Chengdu, China; Department of Nephrology, National Clinical Research Center for Geriatrics, West China Hospital, Sichuan University, Chengdu, China; Med+ Biomaterial Institute of West China Hospital/West China School of Medicine of Sichuan University, Chengdu, China; Med-X Center for Materials, Sichuan University, Chengdu, China",1; 2; 3; 4; 5; 6; 7,N,Y
